time,seconds_elapsed,z,y,x
1761237459300615700,5.47561572265625,8.3435640335083,4.184580326080322,-0.4155267477035522
1761237459318653700,5.49365380859375,7.31610631942749,4.295950889587402,-0.4770538806915283
1761237459336690700,5.511690673828125,6.093812942504883,4.185032367706299,-0.3881596326828003
1761237459354728400,5.529728515625,5.682283878326416,4.5222272872924805,-0.6387068033218384
1761237459372766500,5.547766357421875,6.51803731918335,4.827764511108398,-0.9867982268333436
1761237459390804000,5.565803955078125,6.895754337310791,4.947240829467773,-1.5632554292678833
1761237459408841700,5.583841796875,5.898613452911377,4.982649803161621,-2.256749391555786
1761237459426875600,5.601875732421875,3.8744964599609375,4.821730613708496,-2.4360573291778564
1761237459444916700,5.619916748046875,1.7702641487121582,4.214591026306152,-2.859591245651245
1761237459462954800,5.637954833984375,-0.9936671257019044,2.956489562988281,-3.252563714981079
1761237459510302200,5.68530224609375,-5.218268871307373,-2.1277976036071777,-0.9772553443908693
1761237459528339200,5.703339111328125,-6.196747779846191,-4.36987829208374,0.7470142841339111
1761237459544228900,5.719228759765625,-4.612598419189453,-5.3987531661987305,2.8714518547058105
1761237459562149000,5.737149169921875,-1.218860149383545,-5.16377067565918,1.9851049184799197
1761237459580188200,5.755188232421875,0.2501449584960937,-6.542930603027344,0.565085768699646
1761237459598237400,5.773237548828125,0.4226799011230469,-8.081178665161133,-0.8847637176513672
1761237459616274000,5.79127392578125,-1.9256267547607424,-8.37511157989502,-1.9822862148284912
1761237459634312200,5.809312255859375,-4.747046947479248,-8.20964241027832,-1.9971528053283687
1761237459652349400,5.827349365234375,-8.42772388458252,-7.736964702606201,-2.1565206050872803
1761237459670386400,5.845386474609375,-11.30824089050293,-7.426278591156006,-1.9204453229904173
1761237459688425200,5.86342529296875,-12.435526847839355,-7.014029026031494,-1.161348819732666
1761237459706462500,5.88146240234375,-10.993393898010254,-6.707364082336426,0.4671930074691772
1761237459724499700,5.899499755859375,-8.193462371826172,-6.359927654266357,1.690981149673462
1761237459742536400,5.917536376953125,-6.066268444061279,-6.479949474334717,2.30555272102356
1761237459760576500,5.935576416015625,-5.171052932739258,-6.887496948242188,1.5737817287445068
1761237459778613000,5.953613037109375,-4.678487777709961,-7.549764633178711,0.3962137699127197
1761237459796650500,5.971650390625,-4.114216327667236,-8.100226402282715,-0.5813983678817749
1761237459814684700,5.9896845703125,-3.897169589996338,-8.271073341369629,-1.4429444074630735
1761237459832725500,6.0077255859375,-3.5786099433898926,-8.75204086303711,-2.24945330619812
1761237459850763800,6.025763671875,-3.6061201095581055,-9.13801097869873,-2.4546573162078857
1761237459868805400,6.043805419921875,-3.803358316421509,-9.08598518371582,-2.292006254196167
1761237459886828000,6.061828125,-3.622981071472168,-8.78984546661377,-1.8797924518585205
1761237459904876300,6.079876220703125,-3.676101684570313,-8.422014236450195,-1.400782823562622
1761237459922913500,6.09791357421875,-3.975236177444458,-8.110296249389648,-1.2789101600646973
1761237459940951600,6.11595166015625,-4.240288734436035,-7.914458751678467,-1.492601990699768
1761237459958989300,6.1339892578125,-4.037614822387695,-7.578092098236084,-1.4645700454711914
1761237459977026600,6.152026611328125,-3.2417092323303223,-7.056216239929199,-1.4856488704681396
1761237459995060000,6.17006005859375,-2.3700926303863525,-6.281153678894043,-1.4175041913986206
1761237460013101800,6.188101806640625,-2.212431669235229,-5.512278079986572,-1.467017412185669
1761237460031139600,6.2061396484375,-2.8087549209594727,-4.490312576293945,-1.030133605003357
1761237460049175000,6.224175048828125,-2.6379075050354004,-3.2970571517944336,-0.7502447366714478
1761237460067215000,6.242215087890625,-1.792799472808838,-2.0230770111083984,-0.7070572376251221
1761237460085247000,6.2602470703125,-0.3982219696044922,-1.4210662841796875,-0.642333447933197
1761237460103290600,6.27829052734375,-1.006730556488037,-1.4624052047729492,-1.0865790843963623
1761237460121327600,6.29632763671875,-0.6648988723754883,-0.7220563888549805,-2.448303699493408
1761237460139365400,6.314365478515625,-1.189760446548462,0.7699470520019531,-3.31620454788208
1761237460157403000,6.33240283203125,-2.477933406829834,1.400289535522461,-4.046839714050293
1761237460175439400,6.350439453125,2.1507110595703125,2.526315689086914,-5.440361022949219
1761237460193479400,6.3684794921875,10.739136695861816,2.020963668823242,-2.859048843383789
